25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
2.6333,0,0,0.7809,0,1.6047,6.2237,0,0,0,0,0,10.2713,25.814,2.0285,0,0,0,0,0,0,0,0.7095,1.0524,2.3904,1.0809,0
1.5857,1.3047,0,0.7762,0,0,1.2381,0,1.1667,1.3143,0,0,4.4571,6.1618,0.4,2.919,2.1238,1.0667,0,0.1667,0,0,0.9571,0.5333,1.9476,0,0.0095
0,0,0,0.6381,1.719,0,0,1.4714,0,1.7619,0.3762,0,4.6571,14.3189,2.0143,0.9143,0,0,0,0,0.3476,0,0.1095,0.4333,0.5571,1.6238,0.2143
5.3095,1.2286,0.8476,0,0,0,2.6285,0,0,0,0,0,2.8143,19.4236,4.738,0,0,0,1.3952,0,0,0,0.4524,1.3809,3.2762,0.181,0
0,1.2428,0,0,0,0.6095,2.2666,0,0,0,0.4762,0,3.1571,7.4332,0,0,2.0381,0,0,1,0,0,0,1.0714,1.319,0,0
1.6476,0,0.2762,0,0,0.4429,0.7,0,0,0,0.5143,0,7.638,6.6618,3.2333,-0.0143,2.9619,0,0,0.8857,0,0,0,0,2.4143,1.2428,1.619
0.8905,2.7476,0,0.5762,0,2.7666,0.7428,0,0,0,0.8714,0,0.5762,125.97,0,1.5762,1.4238,0.8809,0,0,0.5095,0,1.0333,2.419,3.0952,0,0
0,1.9809,0,0,0,0,3.7904,0,0,0.8667,0,0.4952,15.6284,16.1141,2.019,2.1524,1.6714,0,0,0,0,0,1.1476,1.1667,7.138,1.0667,0.6905
0.019,0.6095,0,1.6476,3.0619,0,4.6952,0.3095,0,0,0,0,0,8.8713,2.1333,0,0,0,0,0,0.6857,0.7857,0.6905,0,0.819,1.0286,3.919
0,0,1.4571,0.6762,0,0,0,0,0,0,1.1238,0,6.9571,11.6046,0,1.4524,1.0571,1.2095,1.0143,0,0,0,1.7619,0.7381,0.819,0,0.6952
0,2.1714,0,1.6,0,0.0048,0,0,0,0,0,1.0381,0.4,7.2475,1.4047,0,2.1952,0,0,0,0,0,0,0,0,1.4,1.4809
-0.0381,0,0,1.0714,0,0,12.257,0,0,0,0,0.2762,39.4996,91.6846,4.838,0.8571,1.9666,0,1.0762,0,0,0,2.1381,41.8519,61.7612,0,0.8476
1.3905,0.9476,0,0,0.5429,0,10.1808,0,0,0,0.3286,1.1047,7.6094,13.7522,0.4333,-0.0857,0,0,0.7333,0.5905,0.3429,0,1.0524,0.7857,0,0,0
0.5667,0.5095,0,0,0,0,10.5285,0,0,0,1.3667,0,10.4094,15.7379,3.0238,1.2905,1.8,0,0,0,2.2809,0,0,1.5047,0,0,0.5286
1.6666,0,0.2952,1.9,0,0,2.1714,0,0,0,0,0,4.7523,6.9571,0,0,3.3571,0,0,0,1.0095,0,0,2.7571,6.6856,0,0.519
0,0,0.0524,0,0.5667,0,2.6285,0,1.0476,0,0.3238,0,7.3523,10.1761,2.4714,2.2,0.5095,0,0,0,0.7476,0,0,0.9857,5.4476,0,0.4762
1.4476,0,0,0,0,0.4,10.557,0,0.4143,0,0,0,24.6092,29.1901,3.7619,1.1762,3.9095,0,0,0.3476,0,0,0,0,2.7952,1.3428,0.8476
1.0762,1.1143,0.6905,0.9,1.5476,1.419,0,0,0,3.4381,0,0,0,8.8809,0,0,0,0,0,0.2429,0,0.8571,0,-0.0095,0,0,0
1.1905,0.5667,0,0,0,1.2809,2.1095,0,0,0,1.2333,0,6.3333,6.1475,1.5666,1.4286,1.1143,0,0,0,0,0,0,0,1.2,1.0952,1.0048
0,0,0.4048,0.181,0,0,2.4714,-0.0286,0.9143,0.6143,0,0,5.738,9.957,2.7476,0,0,0,0,0,0,0,0,0,0,0,0
0,0.8381,0,0,0,0,1.0143,0,0,0,0,0,6.3761,9.3523,3.9333,1.3667,0,0,0,0,0.7286,1.1619,0.2286,0,1.6,0,1.0143
0,0.7333,0.1286,0,0.3571,2.1333,4.2428,0,0,0,1.6095,0,9.157,24.5902,5.0809,2.5047,1.5809,0,0,0,0,0,1.2143,1.5047,5.8476,0,0
0,0,0,0,0.7095,0.7095,9.138,1.1381,0.5952,0,0,0,20.9379,20.0141,4.6523,1.9524,1.9285,0,0,0,0,0,0,0,0.5048,3.6047,0.5857
0,2.3714,0,0,0,0.5714,0,0,0,3.4809,0.6428,0,0,10.2951,0,4.6857,2.4714,0,0,0.2762,0,0,0,2,10.3951,0.8809,0
0,0.3333,0,0,0,2.4476,4.9095,0.6428,0,0,0.5571,0,5.0571,9.8713,0.9524,0,1.8428,0,0.4762,0,0,1.2952,0,0,0.5857,0,0.119
