RT,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
1.252,0.705,0,0,0,0,0,48.895,0,0,1.048,0,0,27.881,57.128,5.986,0.271,2.929,0,0,0,0,0,0,0.976,1.062,11.428,0
2.243,1.586,1.205,0,0.652,0,0,1.981,1.795,0,1.114,0.357,2.357,0,7.267,0.61,1.99,1.681,0,-0.038,0,0,0.286,1.21,0,0,0,0.995
2.248,0,3.943,0,0,0,0,1.048,0.438,0,0.59,0,0,9.428,16.281,2.452,2.462,0,0,0,0,0,0.31,1.562,0.724,3.676,0.281,0
2.353,0,4.524,0.781,0.643,0,0.476,2.119,0,0,0,0.148,0,6.976,8.724,2.576,0.971,0.719,0,0,0.99,1.324,0,0,1.119,1.295,1.057,0
3.195,1.971,3.852,0,0.419,0,0.6,2.976,0.081,0,0,0,0,2.9,10.067,0,1.59,0.533,0,0,4.867,0,0.843,0,1.871,1.667,0,0
4.148,0.214,0,0.205,0,0,0,0.667,0.838,0,0,0,0,5.876,11.357,0.224,0,0,0,0,0,0.614,2.043,0.233,0,1.052,0.324,0
4.229,0,0,0.871,0.795,0.51,0.467,10.252,0,0.386,0.457,0.648,0,75.609,95.604,8.162,8.3,2.324,0,0.6,1.052,0.581,0.371,0.19,2.333,6.633,1.819,0
4.264,0,2.848,0,0,0,0.61,0,0,1.257,0,0,0,0,6.943,0,1.895,0,0,3.029,0,0,0,0.543,0.014,1.376,0,0
5.886,1.062,0.419,0,0,1.51,0,3.705,0,0.419,0,0,0,10.738,13.619,0.59,0,0,0.019,0.376,1.181,0.762,0,1.505,0,0.462,0,0.533
5.925,0,5.619,0,1.781,0,2.838,3.686,0,0.457,2.667,0,0,1.962,7.238,1.8,0,0,0,0,2.033,0,1.962,0,0,0,0,0
6.833,0,0.119,0,0.286,0,0,4.638,0,0.848,0,0,0.795,2.043,6.6,3.176,0,1.271,0,0,0,1.429,0,0.486,0,2.729,0,0
7.06,0,0,0.09,0.776,-0.038,0.138,8.148,0,0,0,2.662,1.19,13.095,24.443,4.29,0,0.91,0,0.2,0,0.781,0,0,1.386,0.29,0,1.757
7.946,1.952,0,0,0,0,0,8.657,0,0.229,1.167,0.852,0,7.267,9.543,0,0,0,0,0,0,0.486,0,0,0,1.167,0,0
8.736,0,0,0,0,3.609,0.448,11.862,0.49,0,0.1,0,0,20.405,36.133,1.733,1.476,0,0,0,0,1.51,0,0,0,0.833,2.443,1.533
8.744,0,2.109,0,0,0,0,0.752,2.376,0,0,0,0,2.181,7.4,1.99,0,0,0,0.924,0,0,0.376,0,0,1.257,0,0.705
9.6,0,1.962,0,0.462,0,0.548,0,0.614,0,0,0.01,0,0,6.609,0,0,0,0,0,0,0,0,0.014,0,0.381,0,0
9.678,0,0,0,1.219,0,1.41,1.805,0,0,0,0.99,0,6.781,16.462,1.229,0,2.538,0.695,0,0,0,0,4.419,0.41,-0.038,0.462,1.086
9.724,0,5.005,0.576,0,0,0,0.89,0,1.295,0.119,0.352,0.1,0,8.681,0.686,0,0,0,0,0,0,0,0,1.224,1.419,0,0.4
11.513,0,0,0,1.69,0,0.352,2.39,0.852,2.005,0,1.81,0,10.271,21,0.786,0,3.243,0,1.205,0.714,1.162,0.452,0.662,1.614,8.09,1.357,0
11.531,0.662,0.729,0,0,0,0,1.167,0,0,0,1.448,0.667,4.614,6.548,0.705,0,0,0.81,0,0,0,0.224,0,0,1.462,1.19,0
12.492,0,0.538,0,0,0.99,0,0,0,2.186,0,0.914,0,1.324,7.681,0,0,0,0,0,0,0,0,0,1.462,4.257,0.271,1.948
12.549,0,0,0,0.167,0.695,0,7.009,0,0.133,0,0.605,0,14.667,46.199,5.109,2.962,11.481,0.181,0.571,0.31,2.038,0,0,0,0,0,0
13.344,1.814,1.31,0,0,0,0,2.124,0,0,0,0,0,10.419,28.204,6.895,1.438,1.776,0,0,0,1.038,0.19,0,0,0.729,2.229,0
13.384,0,0.548,0,0,0,0,2.171,0,1.429,0,0,0.29,0,9.576,0,0,0,0,0,0,0,1.381,0,0.39,1.61,1.895,0
13.447,0,0,0,0,0,0,5.705,2.019,0,1.348,0,1.152,2.714,6.952,0,0,1.048,0,0.914,0,0,0.352,0,0,0,1.595,0
14.468,0.3,0,0.843,0,0.51,0,1.514,0.981,0,0.605,0,0.557,3.352,6.781,1.029,1.043,0,0.067,0,0,1.471,0,0,0,1.171,1.81,0
15.292,0,0,0,0,0,0,1.348,0,0,0,0,0,0,8.148,0,0.143,0.662,0,0,1.681,0,0.171,0.862,0,0,1.043,0.943
15.437,0,44.19,1.51,0,0,0.967,6.89,0,0,1.133,0,0,30.428,39.209,1.9,0,0,0.581,0,2.29,0,0,0,2.957,8.524,0,0.19
16.283,0,2.671,1.362,0,0,0.39,5.148,0.552,0,0,0,0,17.143,28.357,1.1,4.048,2.914,0,0,0.595,0,0,0,2.267,0,0,1.348
17.347,2.862,0,0,0.433,0,0,5.514,0.21,0.348,0,0,0,5.267,20.828,3.367,2.267,5.481,0.224,1.905,0.738,0,0.91,0,0,0.914,0,0.843
17.349,0,2.195,0.986,0,1.052,0,0,0,0,0.91,0.01,0.886,0,9.333,-0.01,0,0,0.886,0,0.638,0,0.929,0,0,3.219,1.843,0
