RT,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
0.116,0,0,0,0,0,0.824,1.543,1.019,0.514,0,0,0,3.352,5.99,0,0.329,0.505,0,0.367,0,1.867,0,0.695,0.805,0,0,0
2.444,0,0,0.7,0,0,0,7.871,1.576,0,0,0,0,2.929,6.481,2.967,2.876,2.524,0,0.49,0.89,0,0,0,1.881,2.8,0,0
5.946,0,0,0,1.105,0,0,0,41.7,0,0,4.171,0,1.643,22.409,0,0,0,2.424,0,1.562,0,0,0,0.562,0,12.495,2.509
8.002,0,0,0,0,0,1.338,-0.048,1.162,0,0,0,1.652,1.6,5.833,0,0,0,0,0,0,0,0,0,0,0.829,0,0.743
12.513,0,0,0.324,0,0,0,0,0.976,0,0,0,0,0,8.49,0,0,0.986,0,1.167,0,2.129,0,0,0.719,0,4.005,0
12.628,0,0,0,0,0,0,0,0,0,0.39,0,0,2.114,5.614,0,0,0.695,0.938,0,0,0.395,0,0,3.786,2.952,0.776,0
15.271,0.138,12.819,0,0,0.138,0.614,0,0,0,0,1.895,0.505,0,5.19,0.471,0,1.29,0,0,0,0,0.743,0,10.995,6.986,0.686,0
16.253,0.186,0,0,0,0,1.281,6.876,0.39,0,0,0,0,7.067,14.338,0,0,0,0,0,0,0,1.257,0,0,0,0,0
20.021,0,0,0,0,0,0,0,0.681,0,0,0.924,0,0.219,6.309,0.49,0,0,0,0,0.686,0,0,0,0,1.862,0.624,0
24.713,0,0,0,0,0,0,0,0.39,0,0,0,0,0,5.329,0.814,0,1.971,0,0,0,0,0.305,0,0,0.833,0,0.41
30.22,0,0,1.29,0,0.79,1.69,6.567,1.095,0.686,0,0,1.09,26.614,32.133,4.529,2.3,1.852,0.114,0,0,0,0,3.148,1.2,4.686,7.562,0
30.23,0,-0.019,1.319,0,0.81,0,0,0,0,0.967,3.429,0.195,0,5.776,0,0,0,0.205,0,0.933,0,0,0.486,0,0.967,0,0
31.132,0,0.805,2.924,0,0.443,0,0,0,0,0,0,0,1.076,8.876,0.895,0,0,0,0,0,0,0.324,0,1.948,3.39,0.89,0
31.179,0,2.286,0.614,0,0,0,-0.1,0,0.276,0,1.014,0,0,5.462,0,0.219,0.386,0,0.657,0,0,0,0,0,0,0.543,0
32.003,0,0,-0.105,0.738,0,0,1.129,0,0.8,0,0,0,0,5.624,0,0,0,0,0,0,0.048,0.305,0,0.586,0,0.467,0
32.022,0,0,0,0,0.381,0.89,0,0,0,0,0,0,0,5.081,0,1.771,0,2.59,1.419,0,0.552,0,0,2.448,0.343,0,0
32.95,0,0,0.562,0,0,0,0,1.114,0,0,0,0,0,5.181,0,0.252,0,0,1.181,0,0.481,1.429,1.157,2.362,0,0,0.886
34.786,0,0.195,0,0,0.667,0.371,2.138,0,0,0,0,0,7.614,12.043,3.648,0.457,0.952,0,0,0,2.2,0,0.152,3.686,4.724,1.571,0
38.618,0,0.538,0,0.319,1.133,0,0,0.233,0,0,0.171,0,0,5.367,0,0.781,0,1.005,0,0,0.614,0,0,0,0,0,0.9
48.903,2.052,0.871,0.014,0,0,0,5.4,0,0,0.562,0,1.224,9.457,9.848,0.071,0,2.767,0.405,0,0,0.443,0,0,33.328,54.109,0,0
61.939,0,0,0.005,0,0.771,0,1.057,0,0,0,1.243,0,11.981,5.609,0,0,2.038,0,2.724,1.667,0,0.362,0.443,2.967,4.819,0.89,0.414
62.846,0.548,0,1.49,0,0,0.933,2.857,0,0,0,0,0,0,8.228,0,0,1.824,0.305,1.324,0,0,0,0.671,1.29,1.262,0,0
64.656,0,2.114,0.69,0,0,0,-0.024,0,0,0,0,0,7.595,15.662,1.043,1.671,0.681,0,0.457,0,0,0,0,1.062,1.11,0,0.662
79.436,0,0,0,1.919,1.162,0,0,0,0,0,0,0,0,5.367,0,0,0.719,1.186,0,0,0.795,0,0,0.838,0,0,0
84.19,0,3.376,0,0,0,0.529,0,0,2.105,0,0,0.348,0,11.033,0,1.01,0,0,0.562,0,0.543,0.343,0.314,0,0,0,0
88.935,0,1.295,0,1.943,0,1.895,0,0,0,0.119,0.514,0,0,22.938,0,0,0,1.752,0,0,1.5,0,0,0,1.11,2.029,0
88.982,0,0,0,2.148,0,1.019,0.4,0.362,0,0.119,0,0,6.724,22.495,0,3.79,1.024,0,1.348,0,0,0.348,0.714,2.786,2.862,3.448,0
89.89,0.586,0,0,0,0.4,1,0.61,0,0,1.338,0,0,0,5.343,0,0,0,0,0,0.867,0.681,0,0.176,0,0,0,0
103.591,0,2.738,1.257,0,0.5,0,0,0.09,0,0,0,0,0,6.848,0,0,0,0.79,0,0,0,0,0,0,1.748,0.267,0
104.793,0,0,2.09,0,0,0.267,2.152,0,0,0,1.943,0,0,5.09,0,0,0,0,1.238,0,0,1.4,1.067,3.424,0,0,0
