,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
0,0.0,1.714,0.0,0.0,0.0,0.0,7.4479999999999995,0.662,0.0,0.019,0.0,0.0,11.657,20.851999999999997,3.319,0.8140000000000001,2.1,0.0,0.0,0.0,0.0,0.0,0.171,0.0,0.314,0.0,0.0,0.9999999999995686
1,0.0,0.0,0.49,0.0,0.0,0.0,0.833,0.41,0.0,0.0,3.338,0.0,3.295,9.924,0.0,0.0,1.238,0.633,0.0,0.705,0.0,0.0,1.429,0.0,0.0,0.0,0.0,0.9999996127104124
2,0.662,3.1,0.762,0.0,0.376,2.319,0.5329999999999999,1.21,0.0,0.0,0.0,0.0,40.19,21.895,4.79,1.2670000000000001,3.8289999999999997,0.35200000000000004,0.371,0.44799999999999995,0.0,0.29,0.7290000000000001,5.395,12.057,2.895,0.0,0.9999999999999996
3,0.0,0.0,0.0,0.0,0.0,0.976,3.076,0.0,0.0,0.0,0.214,0.0,13.470999999999998,15.738,2.576,1.2670000000000001,0.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.0,0.0,0.9999999999999973
4,0.0,0.0,1.881,0.0,0.0,0.69,7.643,1.776,0.0,0.0,1.8619999999999999,0.0,36.804,58.023,4.676,1.21,1.867,0.395,4.862,0.0,2.138,1.167,0.22899999999999998,4.229,2.995,12.709000000000001,0.0,0.9999999999601277
5,0.0,2.248,2.59,0.833,0.0,0.0,1.49,1.9809999999999999,0.371,0.0,0.0,0.857,1.605,10.962,1.39,0.0,0.17600000000000002,0.0,0.0,0.0,0.867,0.0,0.0,0.0,0.0,1.038,0.0,0.9999999323563132
6,0.5670000000000001,1.048,0.0,0.0,2.076,0.0,2.5669999999999997,2.186,0.0,1.605,0.0,0.0,18.762,16.319000000000003,1.605,1.7480000000000002,2.081,0.61,0.0,0.0,0.0,1.071,0.0,8.181000000000001,5.7379999999999995,0.0,0.9520000000000001,0.9999999999999964
7,0.0,0.0,0.0,0.0,1.2429999999999999,0.0,3.895,5.038,0.0,0.0,0.0,0.0,19.866,11.962,3.148,0.0,2.862,0.386,0.0,0.59,0.0,0.0,2.3,2.633,0.0,0.8140000000000001,0.0,0.9999999999999802
8,0.943,0.0,0.0,0.0,0.32899999999999996,0.0,40.647,5.767,0.638,2.59,1.024,0.0,31.814,100.242,7.224,3.7,10.280999999999999,0.0,1.5330000000000001,0.0,3.367,0.7140000000000001,0.0,0.6859999999999999,0.462,3.5860000000000003,0.0,0.999999999527692
9,1.61,0.0,0.848,0.462,0.0,0.0,0.0,6.881,0.0,0.0,0.33799999999999997,1.119,9.452,23.638,4.819,0.0,1.795,1.5190000000000001,0.0,1.119,0.0,1.9,0.562,3.429,1.443,5.876,0.0,0.9999999999990989
10,0.0,0.0,0.433,1.324,0.0,0.0,7.438,4.171,0.0,1.871,0.0,0.0,14.280999999999999,27.256999999999998,4.986000000000001,4.0089999999999995,0.705,1.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795,0.999999999981686
11,0.0,0.0,0.0,0.21,0.0,0.462,7.19,3.9189999999999996,2.9619999999999997,0.0,0.0,0.0,12.937999999999999,22.5,0.0,0.0,4.705,0.0,1.895,0.0,0.0,1.962,0.0,0.295,2.386,1.9380000000000002,2.329,0.9999999999999998
15,1.686,0.919,0.28600000000000003,0.0,0.0,0.7,16.043,0.0,0.524,1.929,1.59,0.0,23.581,50.161,2.233,0.0,1.181,0.0,0.0,1.643,1.048,0.0,0.0,0.0,2.2,0.595,0.0,0.9999999911765493
16,0.0,0.0,0.0,1.476,0.0,1.281,1.005,4.7860000000000005,0.0,0.0,2.286,0.0,5.281000000000001,13.433,0.8759999999999999,0.0,0.0,0.0,0.0,0.8140000000000001,0.0,0.0,0.314,0.0,0.0,0.0,0.605,0.9999999915719463
17,0.0,0.7140000000000001,0.0,1.081,0.0,0.0,10.962,1.8330000000000002,0.0,0.743,0.0,0.0,22.605,21.162,5.324,1.143,1.4480000000000002,0.0,2.205,0.0,0.7759999999999999,0.0,0.519,0.0,1.857,4.895,0.0,0.9999999999999987
19,0.0,1.081,0.0,0.0,0.0,1.8619999999999999,3.4810000000000003,4.338,0.0,0.0,0.0,0.0,1.71,6.824,1.5330000000000001,3.533,0.9620000000000001,0.0,1.171,0.0,0.233,0.0,2.957,0.0,1.629,0.0,0.0,0.999999999999786
20,0.8190000000000001,0.0,0.895,0.0,0.305,0.0,3.0,0.595,0.0,0.0,0.0,0.0,1.0859999999999999,9.814,1.5619999999999998,2.19,0.0,2.424,0.0,4.271,0.157,1.8430000000000002,0.0,0.0,1.881,0.157,0.0,0.9999999988989718
22,1.538,0.0,0.948,0.0,0.0,0.0,2.4290000000000003,2.086,1.062,0.0,1.067,0.0,15.905,26.004,10.457,6.324,0.843,2.1,0.0,0.0,0.0,0.371,0.0,1.724,1.7480000000000002,0.0,1.429,0.999999999999623
23,1.452,1.733,0.0,0.0,3.924,0.938,0.0,1.3,0.0,0.0,0.833,0.0,2.8760000000000003,6.247999999999999,0.795,0.7190000000000001,0.486,0.0,0.81,0.0,0.0,0.0,0.319,5.471,0.733,0.0,0.0,0.9999999998248659
24,0.0,0.0,0.0,0.0,0.0,0.0,4.748,0.929,0.0,1.238,0.0,0.0,12.409,18.995,0.0,0.0,2.648,1.605,0.0,2.0669999999999997,0.69,0.0,2.352,0.9570000000000001,0.0,2.49,0.0,0.9999999999726787
25,0.0,1.743,0.0,0.0,1.148,1.5330000000000001,10.79,1.676,0.0,0.0,1.162,0.429,3.9189999999999996,14.6,3.5669999999999997,2.086,2.7089999999999996,0.0,0.0,0.0,0.0,0.0,1.6669999999999998,0.586,2.09,0.91,0.271,0.9999999999999987
26,1.081,0.838,0.0,0.0,1.662,0.0,2.452,1.671,0.0,0.8290000000000001,0.0,0.0,2.9760000000000004,7.062,0.386,0.0,2.667,0.7190000000000001,0.924,0.0,0.0,0.0,0.0,0.7190000000000001,0.0,1.5430000000000001,0.19,0.9999999999998415
28,0.0,2.195,0.0,0.0,0.0,1.5,5.414,0.0,0.0,0.0,0.0,0.0,1.776,5.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552,0.0,0.0,0.257,0.9999999999996827
29,0.01,1.367,0.0,0.5710000000000001,0.0,0.0,2.509,1.514,1.281,0.0,0.0,0.0,0.895,8.405,1.248,3.562,0.0,0.281,3.929,0.0,0.9570000000000001,3.971,0.0,0.214,1.629,2.133,1.067,0.9999999996933324
30,0.0,0.0,0.0,0.0,0.0,0.0,5.686,3.995,1.176,0.0,0.0,0.0,11.081,6.542999999999999,1.3519999999999999,2.576,2.0,0.895,0.905,0.267,0.0,0.0,0.0,4.7330000000000005,0.0,4.657,0.5760000000000001,0.9999999999999996
