,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.048,0.0,0.5710000000000001,6.39,6.2139999999999995,0.0,0.0,0.0,1.043,1.2,0.0,0.0,0.0,0.0,3.29,1.829,2.248,0.0,0.9999999999999714
2,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.076,0.0,2.609,6.986000000000001,0.0,0.0,2.614,0.0,1.433,0.0,0.0,0.0,0.0,1.676,2.233,1.262,0.0,0.999999999999063
3,0.0,1.643,0.0,0.0,0.0,0.0,0.0,0.0,0.381,0.0,0.0,0.243,0.0,7.962000000000001,0.0,0.0,1.157,0.0,0.0,0.9620000000000001,1.0290000000000001,0.0,0.35200000000000004,0.91,0.0,0.0,0.0,0.9781855011453213
4,0.0,0.0,0.0,1.171,0.0,0.0,5.7,0.0,0.905,0.0,0.0,0.0,15.895,42.556999999999995,2.281,0.0,1.933,0.0,0.0,0.0,1.371,0.0,0.0,0.9,0.767,2.952,0.0,0.9999999982126639
5,0.0,0.0,3.39,0.9570000000000001,0.0,0.0,3.795,0.252,0.0,0.0,0.0,0.052000000000000005,15.462,17.128,0.39,0.767,1.8619999999999999,0.0,1.4669999999999999,0.0,1.057,0.0,1.276,5.59,0.0,0.0,0.0,0.999999999999031
6,1.9,1.295,0.0,1.71,0.852,0.0,2.01,2.8480000000000003,0.0,0.0,0.0,0.738,24.471,42.942,9.943,1.071,1.805,0.0,0.0,0.0,3.133,0.0,0.48100000000000004,2.424,0.767,0.0,0.5429999999999999,0.9999998652544329
7,0.0,0.424,0.0,0.0,0.0,0.18600000000000003,2.2430000000000003,0.0,0.0,0.0,0.18600000000000003,0.0,4.667,24.409000000000002,2.448,1.052,0.0,0.0,1.548,0.0,0.0,0.0,0.943,4.129,4.138,0.0,0.0,0.9999999998757385
8,0.0,0.8,3.6519999999999997,0.0,0.5760000000000001,1.5190000000000001,2.3569999999999998,0.0,0.0,0.0,0.4,0.0,3.6239999999999997,16.357,0.838,0.0,2.371,0.81,0.0,0.0,0.0,0.0,0.924,1.024,2.005,2.048,0.0,0.9999999999990627
9,0.0,0.0,0.0,0.0,0.0,0.0,2.5669999999999997,0.22899999999999998,0.0,0.0,0.0,0.0,5.529,12.585999999999999,1.9240000000000002,0.0,0.0,0.6859999999999999,0.0,0.0,0.0,0.0,1.095,0.7759999999999999,3.786,0.0,0.6809999999999999,0.9999999999998497
10,0.0,1.048,0.0,2.205,0.0,7.086,13.557,0.0,0.7240000000000001,0.0,0.0,0.433,20.433,22.695,0.0,2.7,0.0,1.781,0.33799999999999997,0.0,0.0,0.0,1.943,0.8809999999999999,2.6189999999999998,3.9619999999999997,0.0,0.9999999999998423
11,0.0,2.8810000000000002,0.0,0.0,0.6809999999999999,0.862,1.148,0.0,0.0,1.105,0.0,0.0,2.543,10.009,0.0,1.038,4.329,0.0,1.6,1.357,0.0,0.0,0.0,0.0,1.695,1.495,0.0,0.9999999999941462
12,0.0,0.0,0.938,0.381,0.0,0.0,0.0,0.0,0.0,1.119,0.0,0.0,30.066,49.708999999999996,8.414,3.562,2.733,2.0709999999999997,0.614,1.19,1.557,0.0,0.0,0.9329999999999999,0.843,16.609,2.714,0.9999999962924904
13,0.0,1.3330000000000002,0.0,0.0,0.0,0.0,4.043,0.0,0.0,0.0,0.0,0.0,7.095,20.171,1.2429999999999999,0.0,2.176,0.4,0.0,0.0,0.0,0.0,0.214,0.0,0.514,0.0,0.557,0.999999999986189
