,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
1,0.0,0.0,0.0,0.0,0.0,0.0,5.109,0.948,0.0,0.0,0.0,0.586,2.4290000000000003,6.186,0.0,0.0,0.0,0.0,0.0,0.8859999999999999,0.81,0.0,0.0,0.0,1.867,2.124,0.838,0.999999999998959
2,0.0,0.0,0.281,0.0,1.376,0.0,0.7809999999999999,0.0,0.0,0.0,0.0,0.0,2.114,6.171,1.514,0.0,0.0,0.0,0.0,1.314,0.0,0.0,0.0,1.229,6.343,0.0,0.0,0.9999999999652582
3,0.0,0.752,0.0,2.048,0.0,0.852,5.519,1.01,0.0,0.0,0.0,0.0,18.843,8.709,3.8569999999999998,1.7380000000000002,0.44299999999999995,0.0,0.0,0.0,0.381,0.0,0.0,0.424,0.0,0.452,0.562,0.9999999999999596
4,0.0,0.0,1.733,0.0,0.0,0.0,2.995,0.0,0.276,0.0,0.0,0.0,6.124,6.257000000000001,0.862,0.0,0.595,0.0,0.7290000000000001,0.0,0.257,0.0,0.0,0.0,0.795,0.0,0.433,0.9999999999997746
5,0.0,1.757,0.0,0.33299999999999996,0.0,0.0,10.038,0.0,0.0,0.0,0.705,0.0,1.3519999999999999,8.628,1.376,1.443,0.0,0.0,0.8290000000000001,0.59,0.0,0.0,0.057,0.0,0.8140000000000001,0.624,1.067,0.9999999999924889
6,0.0,0.0,1.495,0.0,0.0,0.0,1.038,0.838,0.5479999999999999,0.0,0.0,0.0,4.795,9.724,0.0,0.0,0.0,0.0,0.314,0.371,0.0,0.0,0.0,0.19,1.943,0.0,0.0,0.9999999979035072
7,0.0,1.0190000000000001,3.6430000000000002,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,6.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8290000000000001,0.852,0.81,0.0,0.9999999955608758
9,0.0,0.79,0.0,2.195,1.062,0.0,0.795,0.5760000000000001,1.095,0.0,0.0,0.395,4.071000000000001,7.062,1.6,0.857,0.0,0.843,0.0,0.0,0.0,1.0290000000000001,1.681,0.0,0.0,0.0,0.586,0.9999999975846121
10,0.033,0.0,0.0,0.0,0.0,1.19,0.48100000000000004,0.0,0.0,0.895,0.0,0.0,4.819,8.405,0.0,0.0,0.0,0.0,0.614,0.34299999999999997,0.0,0.0,0.0,0.9,2.481,3.1519999999999997,0.667,0.9999999999999527
13,1.4380000000000002,0.71,0.0,3.033,1.452,1.062,1.214,0.0,0.0,0.0,0.0,0.6709999999999999,0.552,7.028,0.0,0.35700000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999980619078531
