25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
0.357,0,0,0,0,0,0,0,0.657,2.171,3.095,0,0,432.628,0.719,0,0,0,0,1.038,0,0,0.562,0,1.124,0,0
0,0,0.01,2.119,2.052,0,0,0,0,0.381,0,0,0,1217.367,2.052,0.167,0,0,0.614,0,0,0,0.514,0.695,1.71,0,0
0,1.367,0,0,0,0,-0.014,0,0,0,0,0,0,855.747,2.033,0.757,0,0,-0.024,0,0.424,0,0,0,3.257,0,1.786
0,0,0.657,2.209,0,0,1.533,0,0.748,0,0,0.448,1.829,742.554,0,1.276,0,3.662,0,0,3.443,2.381,0,0.89,3.486,0,0
0,0,0,0,0,3.124,0,0,0,0,0,0,0,323.087,0,0,0,2.543,0,0,0,0,0.633,0.371,3.038,0,0.738
0,0,2.976,0,0,0.662,0,0,0,0,0,0,0.976,481.185,1.271,0.562,0,1.076,0.867,0,0,0,0,0,2.152,1.424,0.419
0,0.814,0,0,0,1.814,2.114,0,0,0.148,0,0,0,420.567,1.133,0,0,0,1.276,0,0,0,0.581,0,1.148,0,0
0,0,0,0,2.09,3.157,1.867,0,0,0,0,0,0,1466.402,1.419,3.943,1.248,1.405,0,0,1.148,0,0.405,0,0.633,1.357,0
0,0,0.976,2.538,0,0,1.21,0.381,0,0.41,0,0,1.571,1232.657,-0.414,-0.024,0,0,0.748,0,0,0,0,1.405,0.767,0,0
0,0,1.61,0,0,2.424,0.51,1.09,0,0,0,0,1.119,1487.131,-0.49,-0.243,0,0,0,0,1.257,0.367,0.233,1.762,1.429,0,0
0,0,0,0,0.619,0,0,0,0,0,0,0.21,0.176,237.469,0,0.405,0,0,0,0.138,0,0,0.767,2.148,0.038,0.895,0
0.886,0,0,0,0,0,0,0,0,0,0,0,0.429,456.433,0,0,1.09,1.081,0,0,1.067,0,0,1.162,1.848,0.943,0
0,0,0.01,0,0.452,0,0,0.405,0,0,0,0.81,0.6,554.279,0.733,0,0,0,2.257,0,1.167,1.571,0,1.724,0,0.019,0
0,0,0,0,0,0,0,1.414,0,0.995,0,0,0.862,589.322,2.224,1.119,0.419,0,0.367,0,1.429,0,1.076,0.643,0.629,0.452,0
2.567,0,0,2.433,0,0,0,0,0,1.857,0,0.743,0,439.028,-0.062,0,0,0,0.433,0,0,0,0,0,0.814,0,0.352
0,0,0.652,0,0,0,0.59,0,0,0,0.376,0,0,544.784,1.357,0.595,0,2.295,0.386,0.719,1.333,0,0,0,2.448,0.967,0
0,0,1.405,0.976,0.386,0.905,1.076,0,0.5,0,0,0,0,1950.797,-0.281,2.062,0.962,3.371,1.662,0.814,2.262,1.619,0.79,2.143,3.295,0.514,0
0,0,0,0,0,0,0,0,0,0,1.01,0,3.414,1087.054,2.209,0,0,1.919,0,0,0.452,1.552,0,0.748,6.981,0.786,0.838
0,1.324,0.267,0,0,0.433,0.219,0,0.543,0,0,0,1.024,357.763,1.414,0.976,0.576,1.019,0,0.776,0,0,1.305,0,0,0,1.095
0.876,0.8,0,0,0,0,1.919,0,0,0,0,0.248,0,287.554,1.238,2.114,0,0,0,1.71,0,0,0.005,2.395,3.476,0.676,0.71
0,1.271,0,0,0,0,0,0,1.671,0,0,0,2.762,667.121,0.476,1.395,0,0,0,2.933,0,0,0,0,0,0.181,0.638
0,0,0,0.857,2.886,0,0.19,0.786,-0.048,0,0.7,0.971,0,1472.05,1.005,0,0.581,0.814,0,0,1.105,1.638,0,0,3.867,0,0.314
0,0,0,0,0,1.638,0,0,2.133,0,2.09,1.314,0,304.768,1,0,0,0,0,0.257,0,0,0,2.819,1.267,0,0
0.833,0,0,0.61,0.686,1.462,0,0,0,0,0,0,0,686.078,2.462,0,0.629,0,0,0,0.243,0,0,1.11,0,0,0.21
0,0,1.133,0,0,0,1.057,0.414,0,0.833,0,0,0,130.451,0,0,0.948,0,0,0,0.943,0,0.629,0,1.367,1.367,0.19
0,0,0.276,0.329,0,0,0,0,0,0,0,0,2.405,608.122,0,0,0,0,0,0,0,2.176,0,0.89,4.295,0,1.11
0,0,0,0.214,0.976,0,0,0,0,1.167,0.81,0,0.538,102.985,2.786,0,0,0,0,0.048,0,0,0,0,0,1.338,0
0,0.676,0,0,0,0.943,0,0.748,0,0,0,0,0,111.203,0,0,0,0,0,1.667,0,0,0,0,0.562,0,2.281
1.071,0,0,1.61,0.243,0,0,0,0,0,0,0,0.914,39.676,0,0,0,0,0,0,0.433,0,2.657,0,2.4,0,0
0,0,1.276,0,0,0,0.643,0,0,0,0,0,0.238,262.259,0,0,0,0,0.8,0,0.619,0.905,0,0.433,0.824,0.452,1.595
0,0,0,3.033,0,0,0,1.352,1.167,0,0,0.09,3.952,918.042,0,1.5,0,0,0.176,0,0,0,0,0.857,0.81,0.448,0
0.457,0,0,0,0,0,3.433,0,0,0.686,0,0.724,0.676,858.89,0.695,1.71,0,1.295,0,0,0.395,0,0,0.814,3.305,0,0
