,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
0,0.0,1.162,0.0,0.79,0.0,0.8140000000000001,17.086,0.0,0.529,0.0,0.0,1.8,24.809,53.723,0.5710000000000001,0.7240000000000001,2.457,0.43799999999999994,0.0,0.69,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.9999999889544297
1,0.0,1.9,0.5379999999999999,1.0190000000000001,4.357,0.0,6.662000000000001,0.0,0.0,0.14300000000000002,0.47100000000000003,0.0,15.571,43.285,7.481,2.8480000000000003,1.4240000000000002,0.0,1.005,0.0,1.138,0.0,2.381,1.39,3.824,3.529,1.119,0.9999999999126161
2,0.0,0.0,0.0,0.0,0.0,0.0,5.752000000000001,0.48100000000000004,0.486,0.0,0.529,0.0,7.305,14.567,1.276,1.7480000000000002,0.0,0.0,0.0,0.0,0.0,1.995,0.667,0.995,0.0,2.0,0.0,0.9999999999999136
3,0.0,0.0,3.5669999999999997,0.0,0.0,0.981,10.014,0.0,0.0,0.981,0.0,0.0,17.395,23.119,2.233,0.0,0.0,0.0,0.386,0.0,0.0,0.0,0.0,1.119,2.248,0.0,0.0,0.9999999999937115
4,0.0,1.195,0.0,0.924,0.33799999999999997,0.0,3.062,0.0,0.0,0.0,0.0,0.405,10.647,8.567,2.3,1.7519999999999998,0.033,0.0,0.0,0.0,0.6,0.0,0.0,1.681,0.0,1.795,0.0,0.9999999999999858
5,0.0,0.0,0.0,0.0,0.619,0.0,3.862,0.0,0.0,0.0,0.667,0.0,7.037999999999999,8.843,0.7190000000000001,0.0,0.295,0.0,0.0,0.0,0.0,0.0,0.0,1.886,2.114,0.0,0.0,0.9999999999999796
6,1.2429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557,0.0,0.0,0.0,4.99,7.862,0.0,0.0,0.0,0.0,0.0,0.895,0.0,3.7710000000000004,0.8190000000000001,0.0,1.51,0.44799999999999995,0.0,0.9999999999800808
7,0.552,1.5430000000000001,0.0,0.19,0.0,2.505,2.309,0.0,0.0,1.038,0.0,0.0,4.452,12.181,0.0,0.0,0.0,0.0,1.376,0.305,0.0,0.5670000000000001,0.0,2.633,0.0,1.005,0.0,0.999999999999895
8,1.767,0.848,0.71,0.0,0.0,2.6519999999999997,2.2,0.5479999999999999,0.0,0.0,0.0,0.0,9.152000000000001,10.609000000000002,6.132999999999999,2.0709999999999997,0.6809999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.248,0.0,0.9999999999999996
10,0.0,1.4569999999999999,0.32899999999999996,2.519,1.9709999999999999,0.0,2.448,0.0,1.595,0.0,0.0,0.0,0.0,7.181,0.0,1.8619999999999999,1.11,0.0,0.5760000000000001,0.419,0.0,0.44799999999999995,0.0,0.0,0.257,0.0,1.014,0.999999981352019
11,1.39,2.909,0.7709999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.152000000000001,10.2,3.7239999999999998,0.0,0.0,0.0,0.324,0.0,0.34299999999999997,0.0,0.0,0.386,1.4669999999999999,3.667,0.0,0.9999999999998517
13,2.662,0.0,0.0,0.0,0.0,0.0,1.6669999999999998,0.6,2.0,0.757,0.981,0.0,3.4619999999999997,13.79,0.0,0.324,0.0,0.0,0.0,0.8140000000000001,0.59,0.0,0.0,0.295,0.5670000000000001,0.0,1.319,0.9999998302768799
14,0.0,0.0,0.21899999999999997,0.995,0.0,0.0,4.0,0.0,0.6759999999999999,0.0,0.0,0.648,6.724,9.5,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,1.281,0.0,0.0,0.0,0.9999999999845364
15,1.59,0.0,0.0,0.762,0.0,0.44299999999999995,3.6519999999999997,0.0,0.0,0.0,0.0,0.0,6.619,6.281000000000001,3.5239999999999996,0.0,0.5710000000000001,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.805,1.89,1.31,1.0
17,0.0,0.0,0.324,0.47600000000000003,1.41,0.0,0.243,3.333,0.0,0.0,0.733,0.0,0.51,5.771,0.0,0.0,0.0,0.0,0.0,2.157,0.0,0.0,0.0,0.0,0.0,1.357,0.0,0.9997140481543888
18,1.3519999999999999,0.0,0.0,0.0,0.0,0.0,1.048,0.0,0.0,0.0,0.34299999999999997,0.0,11.009,12.052,0.5329999999999999,0.276,2.714,1.9240000000000002,0.0,0.0,0.0,0.0,0.0,0.33799999999999997,1.214,0.5379999999999999,0.0,0.9999999999999392
19,0.929,1.9140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.495,6.205,7.742999999999999,3.7089999999999996,0.0,0.0,0.0,0.0,0.0,1.181,0.0,0.0,0.0,1.767,0.0,0.562,0.9999999998574334
20,0.0,0.0,0.0,0.0,0.0,0.0,11.243,0.0,0.0,0.0,1.3330000000000002,0.0,25.214000000000002,37.033,1.0,3.8710000000000004,1.776,0.0,0.0,0.0,0.0,0.0,1.214,1.871,0.414,3.905,1.2670000000000001,0.9999999999973805
21,3.4139999999999997,0.0,0.0,0.0,0.0,0.0,3.9,0.395,0.0,0.0,0.0,0.0,19.843,27.024,0.0,3.505,1.4709999999999999,0.0,0.0,0.0,0.0,0.5429999999999999,0.0,0.0,0.0,1.043,0.0,0.9999999999998146
22,0.0,0.0,1.69,1.614,0.614,0.6,10.452,0.0,0.0,0.0,0.0,0.0,19.919,29.875999999999998,6.247999999999999,1.105,4.171,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.057,3.305,1.338,0.9999999999991036
23,2.338,0.39,0.633,0.0,0.0,1.433,0.767,0.5,0.0,0.0,0.0,0.0,47.985,46.795,3.1,5.257000000000001,0.2,0.267,0.0,0.0,0.0,0.44799999999999995,0.0,8.343,22.838,4.9239999999999995,0.0,0.9999999996688671
24,0.0,1.081,0.0,0.0,0.0,0.857,1.881,0.81,0.0,0.0,0.0,0.0,3.3289999999999997,6.095,0.043,0.838,0.0,0.8190000000000001,0.0,1.705,1.2429999999999999,0.0,0.0,0.35700000000000004,0.0,0.0,0.0,0.999999999997732
25,0.0,0.6809999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.995,10.505,2.714,0.5429999999999999,2.295,0.0,2.562,0.0,0.0,0.762,0.22899999999999998,0.795,0.429,1.829,0.867,0.9999999999994078
26,0.0,2.805,0.0,0.0,1.338,0.0,0.0,0.0,0.0,0.0,0.9620000000000001,0.0,8.309,9.786,0.0,0.0,1.024,0.562,0.0,0.0,0.986,0.0,1.629,0.0,0.914,0.0,0.7240000000000001,0.9999999999699316
27,0.0,1.69,0.0,0.0,2.295,0.0,2.062,0.748,0.0,0.0,0.0,0.0,11.075999999999999,11.8,3.1710000000000003,0.0,0.733,0.0,0.01,0.0,1.19,0.0,0.848,0.48100000000000004,1.171,1.771,2.343,0.999999999999996
29,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.0,0.295,0.0,0.0,0.0,1.162,9.509,4.552,1.129,2.062,0.0,0.0,0.0,0.0,0.0,1.024,0.69,1.452,1.4569999999999999,0.5760000000000001,0.9999999999994169
30,0.0,2.6239999999999997,0.162,0.0,0.0,2.076,10.786,2.29,0.49,0.0,0.0,0.848,10.024,12.719000000000001,0.34299999999999997,3.3569999999999998,3.2430000000000003,0.0,4.409,0.0,0.0,0.971,0.0,0.043,0.0,1.324,0.0,0.9999999999999911
33,0.0,0.0,0.5429999999999999,0.0,0.0,0.433,0.0,1.319,1.081,0.0,0.0,0.0,3.3,5.709,0.657,1.01,0.0,0.0,0.733,0.305,1.733,0.0,0.0,0.47100000000000003,0.981,0.5710000000000001,2.467,0.9999999999976386
34,0.0,0.0,0.0,0.0,0.0,0.0,3.7289999999999996,0.0,0.0,0.0,0.0,0.0,2.895,6.843,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9329999999999999,0.0,1.29,0.9999999999994702
35,3.176,1.557,0.43799999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.371,1.5519999999999998,0.0,4.952,8.757,0.0,1.1520000000000001,0.9570000000000001,0.0,0.0,1.067,0.0,0.5479999999999999,0.0,2.5380000000000003,3.0239999999999996,0.0,0.0,0.9999999999894544
